fundId,fy,aalGASB25,ava,mva,uaalAVA,fundedRatioAVA,payroll,employerContribution,employeeContribution,benefitPayments,adminExpenses,netInvestmentIncome,discountRate,actives,avgActiveSalary,beneficiaries,avgBenefit,adec,costMethod,sourceNote
meabf,1987,,,,,,,86928550,,,,,0.075,,,,,,EAN,meabf-av-2001 Exhibit A-7 (NPO development) — ER contribution only
meabf,1988,,,,,,,92913800,,,,,0.075,,,,,,EAN,meabf-av-2001 Exhibit A-7
meabf,1989,,,,,,,97196000,,,,,0.075,,,,,,EAN,meabf-av-2001 Exhibit A-7
meabf,1990,,,,,,,102422150,,,,,0.080,,,,,,EAN,meabf-av-2001 Exhibit A-7
meabf,1991,,,,,,,110807484,,,,,0.080,,,,,,EAN,meabf-av-2001 Exhibit A-7
meabf,1992,3645744440,2735313710,,910430730,0.7503,1016438280,119851582,,,,,0.080,35548,28593,16289,12034,,EAN,meabf-av-2001 A-2+A-7; demographics from meabf-av-2001 Exhibits J/M/N
meabf,1993,4006489396,3044072035,,962417361,0.7598,990566232,133957499,,,,,0.080,34489,28721,18532,14000,,EAN,meabf-av-2001 A-2+A-7; demographics from meabf-av-2001 Exhibits J/M/N
meabf,1994,4227053182,3129379505,,1097673677,0.7403,1080425256,137076271,,,,,0.080,36254,29802,18491,14304,,EAN,meabf-av-2001 A-2+A-7; demographics from meabf-av-2001 Exhibits J/M/N
meabf,1995,4406303090,3466557418,3717294000,939745672,0.7867,1087913784,159275835,92505000,,,,0.080,35514,30633,18562,14753,,EAN,meabf-av-2001 A-2+A-7; MVA + EE contrib from emma-1997 Note 8 (FY1995); demographics from meabf-av-2001 J/M/N
meabf,1996,4514208388,3907997927,4182385000,606210461,0.8657,1076057784,152556327,94996000,,,,0.080,35020,30727,18706,15210,,EAN,meabf-av-2001 A-2+A-7; MVA + EE contrib from 1998 OS Note 8 (FY1996); demographics from meabf-av-2001 Exhibits J/M/N
meabf,1997,5259125157,4467100715,4932791000,792024442,0.8494,1192286688,156832216,98978000,277959000,3897000,775258000,0.080,34839,34223,18662,16088,100278969,EAN,meabf-av-2001 A-2+A-5+R (ARC); MVA from 2000 OS combining stmt (BoY 1998); EE/ben/admin/inv from 1999 OS combining stmt of changes (FY1997); demographics from meabf-av-2001 J/M/N
meabf,1998,6323965903,5202095202,5715858000,1121870701,0.8226,1168639224,158564165,124675000,340107000,4654000,842985000,0.080,33119,35286,20932,18928,108174346,EAN,meabf-av-2001 A-2+A-5+R (ARC); MVA + cashflow from 2000 OS combining stmt (FY1998); demographics from meabf-av-2001 J/M/N
meabf,1999,6562299185,6017841114,6068359549,544458071,0.9170,1267181658,121126249,102454000,381186000,3851000,513959000,0.080,35868,35329,20895,19347,157514076,EAN,meabf-av-2001 A-2+A-5+R (ARC); MVA from meabf-av-2000 Table 7; EE/ben/admin/inv from 2000B OS combining stmt (FY1999); demographics from meabf-av-2001 J/M/N. Note: 2000B OS shows City $119644K vs AV $121126K — $1.48M PPRT/reciprocal discrepancy
meabf,2000,6665179731,6297976257,6126238250,367203474,0.9449,1243439345,140171920,107371000,402888000,3844000,214918000,0.080,36089,34455,20776,19789,93016467,EAN,meabf-av-2001 A-2+A-5+R (ARC); MVA from meabf-av-2000 Table 7; cashflow from 2002 OS combining stmt (FY2000); demographics from meabf-av-2001 J/M/N
labf,1992,777385162,844916889,,-67531727,1.0869,141618648,,,,,,0.080,4022,35211,4182,11586,,EAN,labf-av-2001 A-2 (UAAL negative = surplus); demographics from labf-av-2001 Exhibits J/M/N
labf,1993,847293445,937094502,,-89801057,1.1060,147076752,,,,,,0.080,3867,38034,4261,13515,,EAN,labf-av-2001 A-2; demographics from labf-av-2001 Exhibits J/M/N
labf,1994,866493209,960327842,,-93834633,1.1083,155213016,,,,,,0.080,3891,39890,4316,14059,,EAN,labf-av-2001 A-2; demographics from labf-av-2001 Exhibits J/M/N
labf,1995,890375387,1063261239,1104401000,-172885852,1.1942,152996856,18312000,14611000,,,,0.080,3832,39926,4215,14797,,EAN,labf-av-2001 A-2; MVA + ER/EE contrib from emma-1997 Note 8 (FY1995); demographics from labf-av-2001 J/M/N
labf,1996,936623719,1172316925,1211768000,-235693206,1.2516,162276840,19624000,14857000,,,,0.080,3785,42874,4189,15476,,EAN,labf-av-2001 A-2; MVA restated to GASB 25 from 1999 OS combining stmt BoY 1997 (was 1200145 under GASB 5 in 1998 OS — $11.6M sec-lending reclass); ER/EE contrib from 1998 OS Note 8 (FY1996); demographics from labf-av-2001 J/M/N
labf,1997,1040650534,1328085799,1403451000,-287435265,1.2762,171175944,19328981,15332000,55919000,1409000,213087000,0.080,3876,44163,4097,16634,0,EAN,labf-av-2001 A-2+A-3+S (ARC = 0, fund in surplus); MVA from 2000 OS combining stmt (BoY 1998); EE/ben/admin/inv from 1999 OS combining stmt (FY1997); demographics from labf-av-2001 J/M/N. Note: 1999 OS shows ER $20056K vs AV $19329K — $727K PPRT/reciprocal discrepancy
labf,1998,1292611712,1530395014,1615741000,-237783302,1.1840,170627112,19724301,18687000,67412000,1498000,238637000,0.080,3753,45464,4417,20530,0,EAN,labf-av-2001 A-2+A-3+S (ARC = 0, fund in surplus); MVA + cashflow from 2000 OS combining stmt (FY1998); demographics from labf-av-2001 J/M/N. Note: OS shows City contrib $23.055M vs AV $19.724M — $3.3M discrepancy (possibly PPRT or BoE reciprocal)
labf,1999,1309772341,1690749716,1683900050,-380977375,1.2909,175914112,14406579,15896000,80159000,1559000,118676000,0.080,3855,45633,4280,21157,0,EAN,labf-av-2001 A-2+A-3+S (ARC = 0, fund in surplus); MVA from labf-av-2000 Table 7; EE/ben/admin/inv from 2000B OS combining stmt (FY1999); demographics from labf-av-2001 J/M/N
labf,2000,1297913880,1737971109,1648818892,-440057229,1.3390,185051048,683352,17012000,78308000,1670000,26180000,0.080,4070,45467,4199,21872,0,EAN,labf-av-2001 A-2+A-3+S (ARC = 0, fund in surplus); MVA from labf-av-2000 Table 7; cashflow from 2002 OS combining stmt (FY2000) (City stopped contributing due to surplus); demographics from labf-av-2001 J/M/N
pabf,1987,,,,,,443122728,,,,,,0.075,12602,35163,8218,16257,,EAN,pabf-av-2007 Exhibit K (payroll/actives/avg salary) + Exhibit M (beneficiaries sum) + Exhibit N (avg employee benefit only). AAL/AVA not available pre-1996.
pabf,1988,,,,,,443669520,,,,,,0.075,12495,35508,8437,17855,,EAN,pabf-av-2007 Exhibit K + M + N
pabf,1989,,,,,,437121504,,,,,,0.075,12060,36246,8617,19315,,EAN,pabf-av-2007 Exhibit K + M + N
pabf,1990,,,,,,471544173,,,,,,0.080,12039,39168,8789,21120,,EAN,pabf-av-2007 Exhibit K + M + N
pabf,1991,,,,,,520015930,,,,,,0.080,12513,41558,8834,21782,,EAN,pabf-av-2007 Exhibit K + M + N
pabf,1992,,,,,,538404098,,,,,,0.080,12570,42832,8901,23128,,EAN,pabf-av-2007 Exhibit K + M + N
pabf,1993,,,,,,561156282,,,,,,0.080,12591,44568,9136,24724,,EAN,pabf-av-2007 Exhibit K + M + N
pabf,1994,,,,,,599073276,,,,,,0.080,13095,45748,9208,25636,,EAN,pabf-av-2007 Exhibit K + M + N
pabf,1995,,,2565553000,,,622413737,107768000,56219000,,,,0.080,13437,46321,9384,26996,,EAN,pabf-av-2007 Exhibit K + M + N; MVA + ER/EE contrib from emma-1997 Note 8 (FY1995); AAL/AVA not in pabf-av-2007 Table 8 pre-1996
pabf,1996,4367030000,2599761000,2860829000,1767269000,0.5953,654149310,106361000,59351000,,,,0.080,13475,48545,9638,28412,,EAN,2000 OS Appendix C Note 8 Schedule of Funding Progress + 1998 OS Note 8 (MVA + ER/EE contrib); demographics from pabf-av-2007 K/M/N
pabf,1997,4609167918,2896754452,3307120000,1712413466,0.6285,675515532,109361629,63316000,230794000,1932000,505963000,0.080,13435,50280,9843,29867,107607525,EAN,pabf-av-2007 A-2+A-3 (ARC); MVA from 2000 OS combining stmt (BoY 1998); EE/ben/admin/inv from 1999 OS combining stmt (FY1997); demographics from pabf-av-2007 K/M/N
pabf,1998,5158196219,3249729847,3705535000,1908466372,0.6300,736401756,118867416,69890000,255520000,1924000,466770000,0.080,13586,54203,10161,31682,105484624,EAN,pabf-av-2007 A-2+A-3 (ARC); MVA + cashflow from 2000 OS combining stmt (FY1998); demographics from pabf-av-2007 K/M/N
