fundId,fy,aal,mva,ava,uaalAVA,fundedRatioAVA,payroll,normalCostTotal,normalCostER,adec,employerContribution,contributionBasis,employeeContribution,benefitPayments,adminExpenses
fabf,2024,7487555,1774239,1826858,5660698,0.2440,529090,,69427,,472122,cash,53203,434989,3932
fabf,2025,7645809,1926740,1950360,5695449,0.2551,558227,,68168,,459324,cash,51081,453582,3932
fabf,2026,7797442,2054528,2041105,5756338,0.2618,568230,,67293,,441747,cash,51994,470238,4031
fabf,2027,7942354,2183631,2181701,5760653,0.2747,580824,,67450,,451537,cash,53143,487860,4132
fabf,2028,8080501,2314156,2314156,5766345,0.2864,593204,,67634,,461161,cash,54273,505092,4235
fabf,2029,8212874,2448785,2448785,5764090,0.2982,607510,,68158,,472283,cash,55579,521446,4341
fabf,2030,8339653,2589897,2589897,5749756,0.3106,624468,,69152,,485466,cash,57126,537975,4449
fabf,2031,8460426,2734032,2734032,5726394,0.3232,636259,,69971,,494633,cash,58202,553881,4560
fabf,2032,8575702,2881333,2881333,5694369,0.3360,646673,,70765,,502728,cash,59152,568749,4674
fabf,2033,8685860,3032200,3032200,5653660,0.3491,656567,,71725,,510420,cash,60055,583011,4791
fabf,2034,8791386,3187782,3187782,5603604,0.3626,666718,,72808,,518311,cash,60981,596617,4911
fabf,2035,8893403,3350107,3350107,5543297,0.3767,677854,,74349,,526969,cash,61997,609392,5034
fabf,2036,8992166,3521278,3521278,5470887,0.3916,690017,,75540,,536424,cash,63107,621422,5160
fabf,2037,9088267,3702202,3702202,5386065,0.4074,701765,,76892,,545558,cash,64179,632789,5289
fabf,2038,9181609,3892094,3892094,5289514,0.4239,711664,,78327,,553253,cash,65083,643993,5421
fabf,2039,9272604,4090655,4090655,5181949,0.4412,719831,,79935,,559602,cash,65828,654633,5556
fabf,2040,9361956,4299393,4299393,5062563,0.4592,728497,,81870,,566339,cash,66619,664820,5695
fabf,2041,9448994,4518322,4518322,4930672,0.4782,736639,,83522,,572669,cash,67362,675204,5838
fabf,2042,9533390,4747895,4747895,4785495,0.4980,744450,,84999,,578742,cash,68074,685541,5984
fabf,2043,9615131,4989225,4989225,4625906,0.5189,752404,,86370,,584925,cash,68800,695616,6133
fabf,2044,9693611,5243094,5243094,4450517,0.5409,760670,,87576,,591351,cash,69554,705961,6287
fabf,2045,9768622,5510109,5510109,4258513,0.5641,768631,,88794,,597540,cash,70281,716271,6444
fabf,2046,9840184,5791981,5791981,4048202,0.5886,777101,,89851,,604124,cash,71054,726216,6605
fabf,2047,9908785,6090909,6090909,3817876,0.6147,786202,,90918,,611199,cash,71884,735523,6770
fabf,2048,9974224,6408529,6408529,3565695,0.6425,795844,,91916,,618695,cash,72764,744807,6939
fabf,2049,10036468,6746148,6746148,3290321,0.6722,805148,,92787,,625928,cash,73613,753750,7113
fabf,2050,10096611,7106723,7106723,2989888,0.7039,815144,,93887,,633699,cash,74525,761722,7291
fabf,2051,10155076,7492889,7492889,2662188,0.7378,825791,,94968,,641976,cash,75497,769181,7473
fabf,2052,10212554,7907318,7907318,2305236,0.7743,836625,,96043,,650399,cash,76485,775869,7660
fabf,2053,10269686,8352640,8352640,1917046,0.8133,847745,,97314,,659043,cash,77500,782094,7851
fabf,2054,10326928,8831397,8831397,1495531,0.8552,858974,,98679,,667773,cash,78525,787959,8047
fabf,2055,10384451,9346006,9346006,1038445,0.9000,870410,,100199,,676664,cash,79568,793841,8249
fabf,2056,10442097,9397888,9397888,1044210,0.9000,882001,,101585,,184592,cash,80626,799761,8455
fabf,2057,10500963,9450866,9450866,1050096,0.9000,893629,,103061,,178133,cash,81687,804722,8666
fabf,2058,10562074,9505867,9505867,1056207,0.9000,904704,,104940,,180205,cash,82697,809129,8883
fabf,2059,10626026,9563423,9563423,1062603,0.9000,915940,,107005,,182574,cash,83723,813310,9105
fabf,2060,10693038,9623734,9623734,1069304,0.9000,927332,,109198,,185083,cash,84762,817604,9333
fabf,2061,10763040,9686736,9686736,1076304,0.9000,938886,,111388,,187619,cash,85817,822172,9566
