fundId,fy,aal,mva,ava,uaalAVA,fundedRatioAVA,payroll,normalCostTotal,normalCostER,adec,employerContribution,contributionBasis,employeeContribution,benefitPayments,adminExpenses
labf,2024,3091060,1260169,1318234,1772827,0.426,252856,46856,,168828,147466,receivable,24229,183828,3482
labf,2025,3142241,1290597,1318397,1823844,0.420,257747,48713,,170345,136090,receivable,22212,197559,3561
labf,2026,3189127,1319098,1305929,1883198,0.409,264138,49266,,174084,136574,receivable,23104,205532,3641
labf,2027,3232719,1345722,1341693,1891026,0.415,270605,49944,,178587,139028,receivable,24031,212380,3723
labf,2028,3272869,1370687,1370687,1902183,0.419,277727,50651,,178956,141759,receivable,24984,219181,3806
labf,2029,3308953,1393406,1393406,1915547,0.421,284651,51342,,179560,144377,receivable,25952,226347,3892
labf,2030,3340429,1413512,1413512,1926916,0.423,291686,51993,,180262,146966,receivable,26953,233726,3980
labf,2031,3367325,1431314,1431314,1936011,0.425,299075,52683,,180791,149691,receivable,28007,240815,4069
labf,2032,3389750,1447102,1447102,1942648,0.427,306538,53352,,181132,152442,receivable,29044,247478,4161
labf,2033,3407230,1460592,1460592,1946638,0.429,314048,53992,,181233,155172,receivable,30094,254276,4254
labf,2034,3419826,1472193,1472193,1947632,0.430,321982,54723,,181159,158115,receivable,31199,260781,4350
labf,2035,3429348,1483879,1483879,1945470,0.433,329825,55522,,180921,161093,receivable,32298,265278,4448
labf,2036,3435507,1495522,1495522,1939986,0.435,337551,56301,,180455,164045,receivable,33354,269835,4548
labf,2037,3438847,1507962,1507962,1930885,0.439,345456,57126,,179760,167109,receivable,34420,273689,4650
labf,2038,3439662,1521612,1521612,1918050,0.442,353053,57889,,178781,170049,receivable,35419,277009,4755
labf,2039,3438043,1536735,1536735,1901308,0.447,360451,58636,,177471,172877,receivable,36430,280058,4862
labf,2040,3434956,1554611,1554611,1880345,0.453,367980,59416,,175889,175799,receivable,37435,282044,4971
labf,2041,3431645,1576829,1576829,1854816,0.459,375665,60288,,174074,178887,receivable,38432,282819,5083
labf,2042,3429039,1604521,1604521,1824518,0.468,383102,61152,,171945,181920,receivable,39370,282670,5198
labf,2043,3427697,1638523,1638523,1789174,0.478,390432,62001,,169443,184920,receivable,40285,282009,5315
labf,2044,3428219,1679684,1679684,1748535,0.490,397538,62830,,166551,187839,receivable,41164,280826,5434
labf,2045,3430553,1728187,1728187,1702366,0.504,404341,63570,,163195,190594,receivable,41992,279723,5556
labf,2046,3435217,1785104,1785104,1650113,0.520,411585,64381,,159413,193552,receivable,42875,278307,5681
labf,2047,3442894,1851493,1851493,1591401,0.538,418755,65217,,155210,196542,receivable,43716,276404,5809
labf,2048,3453825,1928061,1928061,1525765,0.558,425993,66061,,150495,199568,receivable,44561,274469,5940
labf,2049,3468412,2015739,2015739,1452673,0.581,433393,66951,,145256,202691,receivable,45421,272402,6074
labf,2050,3486802,2115076,2115076,1371726,0.607,440544,67829,,139437,205728,receivable,46252,270415,6210
labf,2051,3508217,2225737,2225737,1282480,0.634,447482,68652,,132992,208680,receivable,47021,269371,6350
labf,2052,3532266,2347988,2347988,1184278,0.665,454661,69597,,125909,211760,receivable,47888,269024,6493
labf,2053,3558934,2482441,2482441,1076494,0.698,461898,70556,,118139,214894,receivable,48737,268872,6639
labf,2054,3588146,2629470,2629470,958676,0.733,468658,71544,,109621,217851,receivable,49595,268991,6788
labf,2055,3619945,2789746,2789746,830199,0.771,475293,72501,,100308,220765,receivable,50412,269200,6941
labf,2056,3654516,2964198,2964198,690318,0.811,481994,73447,,90147,223713,receivable,51210,269385,7097
labf,2057,3692246,3154014,3154014,538232,0.854,488768,74409,,79073,226695,receivable,52022,269387,7257
labf,2058,3733100,3359894,3359894,373207,0.900,495327,75320,,67030,229597,receivable,52772,269577,7420
labf,2059,3777278,3399550,3399550,377728,0.900,501829,76270,,73682,64838,receivable,34873,269812,7587
labf,2060,3824600,3442140,3442140,382460,0.900,508245,77125,,74499,65389,receivable,35297,270339,7758
labf,2061,3874119,3486707,3486707,387412,0.900,514679,77994,,75353,65964,receivable,35718,271998,7932
labf,2062,3924715,3532244,3532244,392472,0.900,521119,78886,,76253,66699,receivable,36134,274905,8111
labf,2063,3976398,3578759,3578759,397640,0.900,527695,79935,,77338,67615,receivable,36540,278025,8293
labf,2064,4030770,3627693,3627693,403077,0.900,534445,81058,,78478,68421,receivable,36978,279736,8480
labf,2065,4086836,3678152,3678152,408684,0.900,540985,81842,,79350,69059,receivable,37349,282242,8671
labf,2066,4142154,3727938,3727938,414215,0.900,547657,82801,,80351,70073,receivable,37786,287392,8866
labf,2067,4197604,3777844,3777844,419760,0.900,554402,84113,,81714,71360,receivable,38228,291991,9065
labf,2068,4254449,3829004,3829004,425445,0.900,561094,85195,,82792,72233,receivable,38711,295141,9269
labf,2069,4312577,3881319,3881319,431258,0.900,567767,86258,,83878,73123,receivable,39178,298467,9478
labf,2070,4371609,3934448,3934448,437161,0.900,574442,87324,,84980,74066,receivable,39643,302244,9691
labf,2071,4430972,3987875,3987875,443097,0.900,581158,88401,,86095,75081,receivable,40112,306638,9909
labf,2072,4490773,4041696,4041696,449077,0.900,587921,89482,,87218,76092,receivable,40581,310950,10132
labf,2073,4551300,4096170,4096170,455130,0.900,594695,90573,,88351,77083,receivable,41054,315017,10360
