fundId,fy,aal,mva,ava,uaalAVA,fundedRatioAVA,payroll,normalCostTotal,normalCostER,adec,employerContribution,contributionBasis,employeeContribution,benefitPayments,adminExpenses
meabf,2025,20567596,5794679,5639887,14927709,0.274,2741722,373290,,,1109423,cash,238904,1173303,6845
meabf,2026,21059433,6189141,5984505,15074927,0.284,2917895,396256,,1350384,1035872,cash,269322,1275830,7016
meabf,2027,21534398,6503494,6389516,15144882,0.296,2982468,400773,,1369084,965002,cash,273403,1328917,7192
meabf,2028,21990517,6808655,6761922,15228595,0.307,3054957,406141,,1389889,995157,cash,283105,1383689,7371
meabf,2029,22429984,7109777,7109777,15320207,0.316,3135618,412443,,1416677,1011523,cash,293523,1436073,7556
meabf,2030,22851086,7406999,7406999,15444088,0.324,3219807,419068,,1447851,1030460,cash,304238,1489359,7744
meabf,2031,23253091,7701144,7701144,15551946,0.331,3306056,425754,,1479856,1050436,cash,315147,1542218,7938
meabf,2032,23640182,7998213,7998213,15641969,0.338,3394893,432715,,,1070863,cash,326279,1590064,8137
meabf,2033,24013996,8301879,8301879,15712117,0.345,3486687,439839,,,1092090,cash,337635,1635521,8340
meabf,2034,24375195,8614528,8614528,15760667,0.353,3579827,447041,,,1114099,cash,349046,1679552,8548
meabf,2035,24723448,8937456,8937456,15785992,0.361,3673567,454149,,,1136519,cash,360518,1722981,8762
meabf,2036,25055795,9269349,9269349,15786446,0.369,3767586,461126,,,1158952,cash,371986,1768295,8981
meabf,2037,25374192,9613959,9613959,15760233,0.378,3862021,468150,,,1181334,cash,383426,1810726,9206
meabf,2038,25680379,9975118,9975118,15705261,0.388,3957488,475109,,,1203916,cash,394921,1850495,9436
meabf,2039,25977053,10358312,10358312,15618741,0.398,4055953,482531,,,1226670,cash,406655,1887334,9672
meabf,2040,26266706,10768812,10768812,15497894,0.409,4156715,490232,,,1250524,cash,418577,1921431,9914
meabf,2041,26552515,11212916,11212916,15339600,0.422,4260322,498321,,,1275137,cash,430726,1952395,10161
meabf,2042,26836312,11695872,11695872,15140440,0.435,4367076,506969,,,1300739,cash,443121,1981914,10415
meabf,2043,27120967,12223459,12223459,14897508,0.450,4474352,515615,,,1327579,cash,455522,2008521,10676
meabf,2044,27409822,12802354,12802354,14607467,0.467,4582986,524587,,,1354564,cash,467977,2032289,10943
meabf,2045,27705932,13438954,13438954,14266977,0.485,4692186,533744,,,1382231,cash,480459,2053566,11216
meabf,2046,28033917,14161615,14161615,13872302,0.505,4802556,543133,,,1410236,cash,492988,2051740,11497
meabf,2047,28372536,14952540,14952540,13419996,0.527,4912177,552667,,,1438776,cash,504406,2072694,11784
meabf,2048,28722413,15815720,15815720,12906693,0.550,5019951,561932,,,1468415,cash,515187,2093461,12079
meabf,2049,29084467,16756297,16756297,12328170,0.576,5128098,571336,,,1497910,cash,525914,2114217,12381
meabf,2050,29460259,17780459,17780459,11679800,0.603,5237041,580969,,,1527724,cash,536628,2134494,12690
meabf,2051,29852193,18895858,18895858,10956335,0.632,5347868,590914,,,1558025,cash,547428,2153665,13007
meabf,2052,30257988,20105783,20105783,10152205,0.664,5460468,601378,,,1589112,cash,558461,2176632,13333
meabf,2053,30679451,21416914,21416914,9262537,0.698,5571051,611494,,,1621021,cash,568968,2198397,13666
meabf,2054,31116360,22835201,22835201,8281159,0.733,5683039,621888,,,1652540,cash,579538,2221687,14008
meabf,2055,31571982,24370089,24370089,7201894,0.771,5794984,632327,,,1684697,cash,589995,2242871,14358
meabf,2056,32047803,26030153,26030153,6017651,0.812,5908637,643003,,,1717014,cash,600547,2264085,14717
meabf,2057,32539668,27818577,27818577,4721091,0.854,6023189,653959,,,1749978,cash,611246,2290925,15085
meabf,2058,33050287,29745258,29745258,3305029,0.900,6136337,664599,,,1783351,cash,621572,2315865,15462
meabf,2059,33580272,30222245,30222245,3358027,0.900,6250559,675297,,,1816386,cash,426899,2341497,15848
meabf,2060,34131949,30718755,30718755,3413195,0.900,6366387,686137,,,464782,cash,434728,2366291,16245
meabf,2061,34708542,31237688,31237688,3470854,0.900,6483824,697111,,,470053,cash,442684,2389520,16651
meabf,2062,35301776,31771599,31771599,3530178,0.900,6603484,708415,,,475172,cash,450805,2422721,17067
meabf,2063,35917260,32325534,32325534,3591726,0.900,6722119,719568,,,481478,cash,458866,2451429,17494
meabf,2064,36556280,32900652,32900652,3655628,0.900,6842974,730904,,,487248,cash,467087,2480531,17931
meabf,2065,37221065,33498959,33498959,3722106,0.900,6966106,742429,,,493078,cash,475472,2509211,18379
meabf,2066,37914811,34123330,34123330,3791481,0.900,7091803,754169,,,498889,cash,484037,2536701,18839
meabf,2067,38628849,34765964,34765964,3862885,0.900,7220024,766129,,,504607,cash,492780,2574696,19310
meabf,2068,39368751,35431876,35431876,3936875,0.900,7347870,778103,,,511452,cash,501500,2608641,19792
meabf,2069,40133745,36120371,36120371,4013374,0.900,7477490,790220,,,517927,cash,510343,2645168,20287
meabf,2070,40921964,36829767,36829767,4092196,0.900,7608598,802462,,,524690,cash,519289,2685269,20794
meabf,2071,41734053,37560648,37560648,4173405,0.900,7741734,814883,,,531850,cash,528375,2726445,21314
meabf,2072,42569125,38312213,38312213,4256912,0.900,7876607,827458,,,539161,cash,537579,2770199,21847
meabf,2073,43427792,39085013,39085013,4342779,0.900,8012905,840186,,,546777,cash,546881,2815018,22393
meabf,2074,44310319,39879287,39879287,4431032,0.900,8150091,852970,,,554561,cash,556244,2861179,22953
meabf,2075,45217378,40687558,40687558,4529820,0.900,8289302,865930,,,562491,cash,565745,2908430,23527
