fundId,fy,aal,mva,ava,uaalAVA,fundedRatioAVA,payroll,normalCostTotal,normalCostER,adec,employerContribution,contributionBasis,employeeContribution,benefitPayments,adminExpenses
pabf,2024,17948101,4325456,4421158,13526943,0.2463,1337092,,176335,,1011456,receivable,121412,1016120,4626
pabf,2025,18390311,4671084,4709029,13681282,0.2561,1376680,,192284,,1042582,receivable,120691,1057538,4730
pabf,2026,18834817,5014126,4966981,13867836,0.2637,1423666,,186475,,1040273,receivable,128759,1086469,4836
pabf,2027,19268580,5374852,5359160,13909419,0.2781,1468330,,183850,,1072909,receivable,132787,1127311,4945
pabf,2028,19689967,5753405,5753405,13936561,0.2922,1513130,,180871,,1105644,receivable,136838,1168699,5056
pabf,2029,20096021,6142793,6142793,13953228,0.3057,1548209,,176894,,1131277,receivable,139977,1210231,5170
pabf,2030,20485896,6541768,6541768,13944128,0.3193,1579852,,172699,,1154398,receivable,142821,1251067,5287
pabf,2031,20859340,6951084,6951084,13908257,0.3332,1610121,,168283,,1176516,receivable,145543,1290748,5406
pabf,2032,21216141,7372112,7372112,13844029,0.3475,1639757,,163649,,1198170,receivable,148196,1329273,5527
pabf,2033,21553708,7799802,7799802,13753906,0.3619,1662398,,158307,,1214714,receivable,150201,1367860,5651
pabf,2034,21870408,8231726,8231726,13638682,0.3764,1680933,,152606,,1228258,receivable,151817,1406026,5779
pabf,2035,22165853,8667529,8667529,13498323,0.3910,1697078,,146867,,1240055,receivable,153199,1442932,5909
pabf,2036,22440355,9108314,9108314,13332041,0.4059,1712177,,141294,,1251087,receivable,154458,1478189,6042
pabf,2037,22695293,9555710,9555710,13139583,0.4210,1725637,,136021,,1260923,receivable,155542,1510870,6178
pabf,2038,22932597,10012787,10012787,12919809,0.4366,1738908,,131239,,1270620,receivable,156581,1540849,6317
pabf,2039,23155051,10483451,10483451,12671600,0.4528,1752014,,127039,,1280196,receivable,157593,1567537,6459
pabf,2040,23366090,10973690,10973690,12392400,0.4696,1767243,,123725,,1291324,receivable,158754,1590966,6604
pabf,2041,23568190,11488182,11488182,12080008,0.4874,1783824,,121233,,1303441,receivable,159996,1612155,6753
pabf,2042,23762269,12029929,12029929,11732341,0.5063,1801157,,119402,,1316105,receivable,161330,1632624,6905
pabf,2043,23949325,12602354,12602354,11346971,0.5262,1819350,,118124,,1329399,receivable,162783,1652277,7060
pabf,2044,24130474,13209256,13209256,10921217,0.5474,1838368,,117284,,1343296,receivable,164300,1670891,7219
pabf,2045,24305695,13853522,13853522,10452173,0.5700,1858114,,116768,,1357724,receivable,165854,1689501,7381
pabf,2046,24473530,14536822,14536822,9936708,0.5940,1878516,,116503,,1372632,receivable,167407,1709386,7547
pabf,2047,24633437,15262256,15262256,9371181,0.6196,1900150,,116606,,1388439,receivable,169110,1729830,7717
pabf,2048,24785413,16033481,16033481,8751933,0.6469,1922663,,117042,,1404890,receivable,170902,1750180,7891
pabf,2049,24929008,16853689,16853689,8075319,0.6761,1945599,,117743,,1421649,receivable,172707,1770727,8068
pabf,2050,25064876,17727616,17727616,7337260,0.7073,1969213,,118716,,1438904,receivable,174615,1790468,8250
pabf,2051,25193361,18659760,18659760,6533601,0.7407,1993041,,119818,,1456315,receivable,176490,1809467,8435
pabf,2052,25315592,19655932,19655932,5659659,0.7764,2017483,,121103,,1474175,receivable,178482,1827192,8625
pabf,2053,25433097,20722521,20722521,4710576,0.8148,2042261,,122501,,1492280,receivable,180497,1843164,8819
pabf,2054,25546951,21865816,21865816,3681134,0.8559,2067330,,123958,,1510598,receivable,182491,1857825,9018
pabf,2055,25657998,23092231,23092231,2565767,0.9000,2092799,,125551,,1529208,receivable,184523,1871604,9221
